size,text
240.5816661,咖啡
203.1306205,牛肉麵
180,牛肉
176.391141,義大利
165.3190787,麵包
163.2747659,乳酪
160.5272213,蛋糕
156.3269035,蛋黃
154.2379602,豆漿
146.3043929,店家
137.650216,巧克力
133.9797709,柚子
113.6490233,拉麵
112.9455552,涼麵
112.5769383,豬肉
94.74026093,漢堡
94.5865539,早餐
92.8771238,燒肉
92.34831256,鮭魚
92.07603043,建築
91.09640474,法式
90.76048999,蕃茄
89.4737672,雞肉
87.58289901,海鮮
86,調味
85.55847315,麵條
82.1166338,炒飯
78.94555523,雞翅
76.47234223,番茄
73.41344854,冰淇淋
73.37013047,豆沙
70.82451165,茶碗
70.82451165,肉絲
70.64199532,紅茶
69.15084952,布丁
69.15084952,豬排
67.72627428,牛角
67.71716171,價位
66.87291599,花生
61.94555523,蘋果
61.38402028,三明治
61.38402028,生魚片
60.50699333,橄欖
60.50699333,櫻桃
57.54751902,香腸
56.82451165,豆腐
56.82451165,雞湯
56.82451165,薯條
56.47277761,鮮奶
56.18506523,火鍋
55.72627428,麻辣
55.72627428,饅頭
55.72627428,墨西哥
55.72627428,濃湯
55.58289901,牛奶
54.13521771,馬鈴薯
54.13521771,奶茶
52.76561796,牛排
52.68808465,餐廳
52.10896782,洋蔥
52.00119271,豐富
52.00119271,一碗
51.86313714,炸雞
51.86313714,芋頭
51.08241809,奶酪
50.95079314,滿滿
50.95079314,平日
50.79470571,馬賽
50.58893689,東區
50.58893689,熔岩
50.58893689,藝術
50.23326761,當天
50.23326761,肉質
49.87451648,香草
49.82892142,嘗試
49.82892142,假日
49.47862377,當然
49.47862377,食物
49.47862377,原本
49.26538069,本來
49.26538069,便宜
49.26538069,店面
49.26538069,吸引
48.94229902,加入
48.94229902,目前
48.94229902,氣氛
48.94229902,設計
48.70672427,玉米
48.63503664,感謝
48.57147362,入口
48.57147362,桌上
47.76636857,上桌
47.76636857,綜合
47.58941142,部落
47.58941142,東西
47.54120904,啤酒
47.37013047,必須
47.37013047,差不多
47.37013047,香料
47.37013047,這天
47.37013047,芝麻
47.09466355,開胃
47.00469258,音樂
46.5284151,分鐘
46.5284151,感受
46.5284151,下次
46.5284151,想到
46.50699333,桂圓
46.50699333,海盜
46.50699333,客家
46.50699333,狂想曲
46.50699333,師大
46.4385619,東京
46.4385619,海膽
46.03801521,難吃
46.03801521,咀嚼
45.88340534,廚房
45.88340534,等待
45.88340534,綿密
45.5300432,蘑菇
45.5300432,排骨
45.38402028,一段
45.38402028,原來
45.38402028,之外
45.16110545,內容
45.16110545,拍照
45.16110545,外觀
45.16110545,尤其
45.15084952,滷肉
45.15084952,什錦
45.15084952,野生
44.95490124,圖文
44.64783058,麵食
44.64783058,生意
44.64783058,特製
44.581944,手工
44.53076139,店名
44.15124707,網路
44.15124707,狀態
43.79144951,享受
43.79144951,主要
43.72627428,的確
43.72627428,親切
43.72627428,位子
43.72627428,香甜
43.21928095,焦糖
43.21928095,品牌
43.21928095,文化
43.21928095,泡菜
43.18506523,保留
43.18506523,開幕
43.18506523,停車
42.82451165,機會
42.82451165,十足
42.82451165,食用
42.82451165,晚上
42.82451165,詢問
42.82451165,用料
42.82451165,閱讀
42.54751902,第一次
42.54751902,最近
42.20151394,號碼
42.20151394,辣椒
42.20151394,市場
41.79470571,和風
41.79470571,加價
41.79470571,開車
41.79470571,牛筋
41.79470571,辛苦
41.68717426,超級
41.68717426,出現
41.68717426,舒服
41.68717426,態度
41.39751942,吃飯
41.39751942,剛剛
41.39751942,來到
41.39751942,厲害
41.39751942,明顯
41.39751942,突然
41.2078306,不要
41.2078306,方便
41.2078306,價錢
41.05448391,外帶
40.58893689,畢竟
40.58893689,攪拌
40.58893689,南瓜
40.58893689,沙發
40.47114951,吃法
40.47114951,公館
40.47114951,雞胸
40.47114951,加熱
40.47114951,章魚
40.08241809,回家
40.08241809,蝦子
40.08241809,友人
39.86313714,傳道
39.86313714,丹麥
39.86313714,機場
39.86313714,漫步
39.86313714,普通
39.86313714,水管
39.86313714,順口
39.86313714,酸辣湯
39.86313714,蹄筋
39.50699333,天使
39.50699333,文昌
38.26441413,有人
38.21324307,擺放
38.21324307,餐具
38.21324307,常見
38.21324307,靠近
38.21324307,路線
38.21324307,品質
38.21324307,下面
38.21324307,顏色
38.21324307,以前
38.21324307,中式
38.21309485,本文
38.21309485,決定
38.21309485,每個
38.21309485,貼心
38.21309485,外皮
38.21309485,現場
38.21309485,一顆
38.21309485,以下
38.21309485,自行
38.04639841,名稱
37.15084952,海景
37.15084952,烤肉
37.15084952,裡頭
37.15084952,歷史
37.15084952,杏仁
37.15084952,夜市
36.8213669,電話
36.70672427,層次
36.70672427,厚實
36.54120904,厚度
36.54120904,記得
36.54120904,配料
36.54120904,容易
36.54120904,時段
36.54120904,胃口
36.54120904,裝飾
36.5300432,哈哈哈
36.5300432,開心
36.5300432,蘿蔔
36.5300432,葡萄
36.5300432,人氣
36.5300432,市區
36.5300432,小吃
36.4385619,不大
36.4385619,經驗
36.4385619,盤子
36.4385619,視覺
36.4385619,一層
36.4385619,一點點
36.4385619,一片
36.4385619,有名
35.41225582,尺寸
35.41225582,畫作
35.41225582,煎餅
35.41225582,老闆娘
35.41225582,老公
35.41225582,芒果
35.41225582,迷你
35.41225582,室友
35.41225582,甜品
35.41225582,蝦仁
35.41225582,兄弟
35.41225582,主題
35.02867028,內部
34.73931188,白飯
34.73931188,氛圍
34.73931188,好奇
34.73931188,絕對
34.73931188,平均
34.73931188,確定
34.73931188,通常
34.73931188,喜好
34.73931188,效果
34.73931188,心得
34.73931188,樣子
34.73931188,以上
34.73931188,中午
34.57542476,第一
34.57542476,復古
34.57542476,限定
34.57542476,主菜
34.52851141,變成
34.52851141,多種
34.52851141,二段
34.52851141,接下來
34.52851141,經營
34.52851141,竟然
34.52851141,三段
34.52851141,台式
34.52851141,習慣
34.52851141,限制
34.52851141,小心
34.52851141,一盤
34.52851141,油脂
33.86313714,彩虹
33.86313714,豆花
33.86313714,龍蝦
33.86313714,民權
33.86313714,請勿
33.86313714,新加坡
33.86313714,魚子
33.21928095,過量
33.21928095,建華
33.21928095,餃子
33.21928095,滿足
33.21928095,南澳
33.21928095,扇貝
33.21928095,是否
33.21928095,犧牲品
33.21928095,序曲
33.21928095,楊梅
33.21928095,腰子
33.21928095,有害
32.79470571,表面
32.79470571,出口
32.79470571,大大
32.79470571,大約
32.79470571,淡淡
32.79470571,火腿
32.79470571,平常
32.79470571,期待
32.79470571,青菜
32.79470571,入味
32.79470571,時光
32.79470571,適中
32.79470571,味覺
32.79470571,心情
32.79470571,延伸
32.79470571,預約
32.79470571,注意
32.50699333,伯爵
